Trait,fpScoreSetID,ScoreSetCreationDate,fpNodeId,sampleNum,Value,Row,Column,line id,line name,packet_stemid,position,pot_stemid
Flowering Date,196,20180725,280767,1,20180808,18,8,210,DRYSDALE,ST50PKT0YJC1,2B8,ST50PT0W39V
Flowering Date,196,20180725,280768,1,20180810,18,9,98,EXCALIBUR,ST50PKT0YJC0,2B9,ST50PT0W3SW
Flowering Date,196,20180725,280769,1,20180808,18,10,196,MIRA,ST50PKT0YJBZ,2B10,ST50PT0W35W
Flowering Date,196,20180725,280770,1,20180815,18,11,108,GOROKE,ST50PKT0YJBY,2B11,ST50PT0W3PB
Flowering Date,196,20180725,280771,1,20180930,18,12,134,CURRAWONG,ST50PKT0YJBX,2B12,ST50PT0W3MJ
Flowering Date,196,20180725,280772,1,20180827,19,1,206,MAROMBI,ST50PKT0YJBW,2C1,ST50PT0W3BL
Flowering Date,196,20180725,280773,1,20180806,19,2,102,BABAX,ST50PKT0YJBV,2C2,ST50PT0W3QD
Flowering Date,196,20180725,280774,1,20180813,19,3,108,GOROKE,ST50PKT0YJBT,2C3,ST50PT0W3P9
Flowering Date,196,20180725,280775,1,20180808,19,4,221,EGA_CASTLE_ROCK,ST50PKT0YJBS,2C4,ST50PT0W34G
Flowering Date,196,20180725,280776,1,20180827,19,5,12,SABRE,ST50PKT0YJBR,2C5,ST50PT0W48W
Flowering Date,196,20180725,280777,1,20181008,19,6,274,TENNANT,ST50PKT0YJBQ,2C6,ST50PT0W2TJ
Flowering Date,196,20180725,280778,1,20180806,19,7,218,VENTURA,ST50PKT0YJBP,2C7,ST50PT0W2X0
Flowering Date,196,20180725,280779,1,20180806,19,8,219,GLOVER,ST50PKT0YJBN,2C8,ST50PT0W34W
Flowering Date,196,20180725,280780,1,20180824,19,9,65,SKUA,ST50PKT0YJBM,2C9,ST50PT0W43H
Flowering Date,196,20180725,280781,1,20180924,19,10,60,DAGGER,ST50PKT0YJBL,2C10,ST50PT0W44G
Flowering Date,196,20180725,280782,1,20180913,19,11,224,PUGSLEY,ST50PKT0YJBK,2C11,ST50PT0W33X
Flowering Date,196,20180725,280783,1,NA,19,12,189,PETRIE,ST50PKT0YJBJ,2C12,ST50PT0W377
Flowering Date,196,20180725,280785,1,NA,20,2,251,DERRIMUT,ST50PKT0YJBG,2D2,ST50PT0W308
Flowering Date,196,20180725,280786,1,20180824,20,3,281,WEDIN,ST50PKT0YJBF,2D3,ST50PT0W2S5
Flowering Date,196,20180725,280787,1,20180813,20,4,119,RAC655,ST50PKT0YJBD,2D4,ST50PT0W3W8
Flowering Date,196,20180725,280788,1,20180921,20,5,21,INSIGNIA,ST50PKT0YJBC,2D5,ST50PT0W4FK
Flowering Date,196,20180725,280790,1,20180824,20,7,19,ETAWAH,ST50PKT0YJB9,2D7,ST50PT0W4FZ
Flowering Date,196,20180725,280791,1,NA,20,8,138,LEICHHARDT,ST50PKT0YJB8,2D8,ST50PT0W3K4
